_SMB_DA_TOKEN_IDS_H_   
TOKEN_SATA_1_RAID_DIS 0x015A 
TOKEN_SATA_1_RAID_EN 0x015B 
TOKEN_SATA_2_RAID_DIS 0x015C 
TOKEN_SATA_2_RAID_EN 0x015D 
TOKEN_SATA_3_RAID_DIS 0x015E 
TOKEN_SATA_3_RAID_EN 0x015F 
TOKEN_SATA_4_RAID_DIS 0x0160 
TOKEN_SATA_4_RAID_EN 0x0161 
TOKEN_SATA_5_RAID_DIS 0x0162 
TOKEN_SATA_5_RAID_EN 0x0163 
TOKEN_SATA_6_RAID_DIS 0x0164 
TOKEN_SATA_6_RAID_EN 0x0165 
TOKEN_SATA_7_RAID_DIS 0x0166 
TOKEN_SATA_7_RAID_EN 0x0167 
TOKEN_LIMIT_CPUID_VALUE_OFF 0x0168  
TOKEN_LIMIT_CPUID_VALUE_ON 0x0169  
TOKEN_USB_PORTS_DIS 0x016A  
TOKEN_USB_PORTS_BACK_ONLY 0x016B  
TOKEN_USB_PORTS_EN 0x016C  
TOKEN_RAID_CTRLR_DIS 0x016D  
TOKEN_RAID_CTRLR_EN 0x016E  
TOKEN_SAS_CTRLR_DIS 0x016F  
TOKEN_SAS_CTRLR_EN 0x0170  
TOKEN_ADJ_CACHE_PREFETCH_DIS 0x0171  
TOKEN_ADJ_CACHE_PREFETCH_EN 0x0172  
TOKEN_HW_PREFETCH_DIS 0x0173  
TOKEN_HW_PREFETCH_EN 0x0174  
TOKEN_ABSOLUTE_ROM_DISABLE 0x0175  
TOKEN_ABSOLUTE_ROM_ACTIVATE 0x0176  
TOKEN_WWAN_DISABLE 0x017b 
TOKEN_WWAN_ENABLE 0x017c 
TOKEN_WIFI_LOCATOR_DISABLE 0x017d 
TOKEN_WIFI_LOCATOR_ENABLE 0x017e 
TOKEN_WLAN_DISABLE 0x017f 
TOKEN_WLAN_ENABLE 0x0180 
TOKEN_WSWITCH_CFG_BT_DISABLE 0x0181 
TOKEN_WSWITCH_CFG_BT_ENABLE 0x0182 
TOKEN_WSWITCH_CFG_WWAN_DISABLE 0x0183 
TOKEN_WSWITCH_CFG_WWAN_ENABLE 0x0184 
TOKEN_WSWITCH_CFG_WLAN_DISABLE 0x0185 
TOKEN_WSWITCH_CFG_WLAN_ENABLE 0x0186 
TOKEN_ALS_OFF 0x0187 
TOKEN_ALS_ENABLED 0x0188 
TOKEN_EXT_USB_PORTS_DISABLE 0x0189 
TOKEN_EXT_USB_PORTS_ENABLE 0x018A 
TOKEN_MEDIA_CARD_AND_1394_DISABLE 0x018B 
TOKEN_MEDIA_CARD_AND_1394_ENABLE 0x018C 
TOKEN_PCCARD_AND_1394_DISABLE 0x018D 
TOKEN_PCCARD_AND_1394_ENABLE 0x018E 
TOKEN_PCCARD_DISABLE 0x018F 
TOKEN_PCCARD_ENABLE 0x0190 
TOKEN_WIFI_LOCATOR_LOCK 0x0191 
TOKEN_WIFI_LOCATOR_UNLOCK 0x0192 
TOKEN_WSWITCH_LOCK 0x0193 
TOKEN_WSWITCH_UNLOCK 0x0194 
TOKEN_WOL_WUOW_ON 0x0198  
TOKEN_SATA_DIPM_DISABLE 0x0199 
TOKEN_SATA_DIPM_ENABLE 0x019A 
TOKEN_PSWD_BYPASS_DISABLE 0x019b 
TOKEN_PSWD_REBOOT_BYPASS_ENABLE 0x019c 
TOKEN_PSWD_RESUME_BYPASS_ENABLE 0x019d 
TOKEN_PSWD_REBOOT_RESUME_BYPS_EN 0x019e 
TOKEN_USB_HUB_MODE_COMPATIBLE 0x019F 
TOKEN_USB_HUB_MODE_HI_SPEED 0x01A0 
TOKEN_USB_PORT_00_DIS 0x01A1 
TOKEN_USB_PORT_00_EN 0x01A2 
TOKEN_USB_PORT_01_DIS 0x01A3 
TOKEN_USB_PORT_01_EN 0x01A4 
TOKEN_USB_PORT_02_DIS 0x01A5 
TOKEN_USB_PORT_02_EN 0x01A6 
TOKEN_USB_PORT_03_DIS 0x01A7 
TOKEN_USB_PORT_03_EN 0x01A8 
TOKEN_USB_PORT_04_DIS 0x01A9 
TOKEN_USB_PORT_04_EN 0x01AA 
TOKEN_USB_PORT_05_DIS 0x01AB 
TOKEN_USB_PORT_05_EN 0x01AC 
TOKEN_USB_PORT_06_DIS 0x01AD 
TOKEN_USB_PORT_06_EN 0x01AE 
TOKEN_USB_PORT_07_DIS 0x01AF 
TOKEN_USB_PORT_07_EN 0x01B0 
TOKEN_USB_PORT_08_DIS 0x01B1 
TOKEN_USB_PORT_08_EN 0x01B2 
TOKEN_USB_PORT_09_DIS 0x01B3 
TOKEN_USB_PORT_09_EN 0x01B4 
TOKEN_USB_PORT_10_DIS 0x01B5 
TOKEN_USB_PORT_10_EN 0x01B6 
TOKEN_USB_PORT_11_DIS 0x01B7 
